Fullname,First Name,Last Name,Temporary ID,Original Created Date,Address,Country,City,Country City Detection,Country Detection,Email,Phone,Original Industry
Danny Gordon,Danny,Gordon,447068,2021-06-22,"Fairfield  Rue, 3872",England,Plymouth,City,"('England', 'Plymouth')",danny_gordon1881098827@zorer.org,(+44) 4073362023,;Meat;Animal feeds
Danny Greenwood,Danny,Greenwood,444841,2021-09-15,"Clarges   Lane, 9304",England,-,Country,"('England', '-')",danny_greenwood16463918@tonsy.org,(+44) 5573533307,;Fruit and vegetables
Danny Hardwick,Danny,Hardwick,449684,2021-09-19,"Fairview Avenue, 8921",England,Winchester,City,"('England', 'Winchester')",danny_hardwick790847302@grannar.com,(+44) 8318565703,;Dairy products;Poultry and fish
Danny Harrison,Danny,Harrison,448203,2021-08-22,"Becklow  Hill, 2383",Ireland,Cork,City,"('Ireland', 'Cork')",danny_harrison1914091501@famism.biz,(+353) 8707341182,;Animal feeds;Milling
Danny Holmes,Danny,Holmes,444835,2021-06-04,"Callcott   Vale, 8514",England,Winchester,City,"('England', 'Winchester')",danny_holmes69557983@deavo.com,(+44) 2124110032,;Meat;Poultry and fish
Danny Murray,Danny,Murray,460871,2021-11-03,"Chestnut  Tunnel, 3600",England,Plymouth,City,"('England', 'Plymouth')",danny_murray1724200115@ovock.tech,(+44) 1550628304,;Meat
Danny Nayler,Danny,Nayler,445541,2021-05-12,"King Alley, 8785",England,Oxford,City,"('England', 'Oxford')",danny_nayler1078350111@sheye.org,(+44) 8850551074,;Bakery products;Dairy products
Danny Parker,Danny,Parker,456917,2021-10-22,"Longman   Lane, 8380",England,London,City,"('England', 'London')",danny_parker1856782203@bretoux.com,(+44) 854465738,;Dairy products
Danny Ross,Danny,Ross,448858,2021-10-04,"Timber   Lane, 8135",England,Plymouth,City,"('England', 'Plymouth')",danny_ross1275585735@irrepsy.com,(+44) 485335206,;Meat;Fruit and vegetables
Danny Shields,Danny,Shields,455301,2021-11-30,"Abbey   Lane, 2930",Ireland,-,Country,"('Ireland', '-')",danny_shields710478081@guentu.biz,(+353) 2606621701,;Poultry and fish;Milling
Danny Stone,Danny,Stone,447456,2021-11-18,"Victorian  Lane, 4407",England,Milton Keynes,City,"('England', 'Milton Keynes')",danny_stone1051108676@ubusive.com,(+44) 1432725442,;Dairy products;Fruit and vegetables
Danny Thompson,Danny,Thompson,460602,2021-07-06,"Adderley   Walk, 1870",Ireland,-,Country,"('Ireland', '-')",danny_thompson2084768498@hourpy.biz,(+353) 6543202682,;Bakery products
Danny Tobin,Danny,Tobin,446565,2021-04-08,"Garfield Vale, 6582",Ireland,Dublin,City,"('Ireland', 'Dublin')",danny_tobin1084472595@elnee.tech,(+353) 3132108031,;Bakery products
Danny Vallory,Danny,Vallory,453001,2021-10-18,"Blanchard  Alley, 5846",Ireland,Waterford,City,"('Ireland', 'Waterford')",danny_vallory979927872@naiker.biz,(+353) 8643547675,;Dairy products;Milling
Danny Wellington,Danny,Wellington,451852,2021-08-05,"Carpenter Rue, 2818",England,Winchester,City,"('England', 'Winchester')",danny_wellington514065727@gmail.com,(+44) 200681338,;Bakery products;Animal feeds;Milling
Daphne Sheldon,Daphne,Sheldon,453801,2021-08-02,"Tilloch   Lane, 2141",Ireland,-,Country,"('Ireland', '-')",daphne_sheldon1373802573@sheye.org,(+353) 736720715,;Dairy products;Fruit and vegetables
Daphne Weston,Daphne,Weston,461388,2021-02-28,"King Edward  Boulevard, 905",England,London,City,"('England', 'London')",daphne_weston1141504247@vetan.org,(+44) 5434381528,;Fruit and vegetables
Daria Bailey,Daria,Bailey,461203,2021-09-02,"Cavendish Road, 8910",England,-,Country,"('England', '-')",daria_bailey1118363620@grannar.com,(+44) 1783303176,;Meat
Daria Wright,Daria,Wright,455851,2021-05-06,"Bayberry Street, 8071",England,-,Country,"('England', '-')",daria_wright1443219487@bauros.biz,(+44) 1206474336,;Animal feeds;Fruit and vegetables
Darlene Rixon,Darlene,Rixon,460400,2021-01-24,"Wadham  Lane, 1586",England,Milton Keynes,City,"('England', 'Milton Keynes')",darlene_rixon784069011@ovock.tech,(+44) 7407882418,;Fruit and vegetables
Darlene Ryan,Darlene,Ryan,460830,2021-05-31,"Carol   Avenue, 7907",Ireland,Dublin,City,"('Ireland', 'Dublin')",darlene_ryan1428395072@tonsy.org,(+353) 2653274442,;Dairy products
Darlene Townend,Darlene,Townend,454575,2021-09-22,"Cloth  Walk, 8315",England,Oxford,City,"('England', 'Oxford')",darlene_townend418178485@brety.org,(+44) 4327708584,;Animal feeds
Daron Attwood,Daron,Attwood,460845,2021-08-07,"Mariner  Rue, 6735",England,Plymouth,City,"('England', 'Plymouth')",daron_attwood1198676803@naiker.biz,(+44) 7505587108,;Bakery products
Daron Booth,Daron,Booth,453301,2021-09-27,"Woodland Street, 5843",England,-,Country,"('England', '-')",daron_booth1198202896@kideod.biz,(+44) 3282514868,;Animal feeds;Milling
Daron Buckley,Daron,Buckley,449454,2021-10-29,"Dunstans  Road, 8286",England,-,Country,"('England', '-')",daron_buckley2016536489@twace.org,(+44) 3612287030,;Animal feeds;Fruit and vegetables
Daron Butler,Daron,Butler,451452,2021-06-16,"Virginia Avenue, 6461",Ireland,Waterford,City,"('Ireland', 'Waterford')",daron_butler589057681@tonsy.org,(+353) 2741278412,;Dairy products;Animal feeds
Daron Carpenter,Daron,Carpenter,451654,2021-11-03,"Collent   Pass, 6635",England,Winchester,City,"('England', 'Winchester')",daron_carpenter1732202317@atink.com,(+44) 5851010437,;Meat;Fruit and vegetables
Daron Chester,Daron,Chester,445786,2021-12-08,"Rivervalley Route, 9143",Ireland,Cork,City,"('Ireland', 'Cork')",daron_chester1194226124@yahoo.com,(+353) 3524415267,;Bakery products;Fruit and vegetables
Daron Griffiths,Daron,Griffiths,454601,2021-10-31,"Ensign   Boulevard, 2688",Ireland,Cork,City,"('Ireland', 'Cork')",daron_griffiths383787137@gompie.com,(+353) 7073401027,;Meat;Dairy products;Poultry and fish
Daron Hall,Daron,Hall,446947,2021-06-20,"Camdenhurst   Tunnel, 6981",Ireland,Limerick,City,"('Ireland', 'Limerick')",daron_hall1443538269@bauros.biz,(+353) 3334342166,;Bakery products;Meat
Daron Howard,Daron,Howard,462202,2021-02-02,"Boldero   Hill, 1045",England,London,City,"('England', 'London')",daron_howard409917726@gmail.com,(+44) 1331488288,;Animal feeds
Daron Lee,Daron,Lee,449604,2021-10-31,"Garfield Way, 471",Ireland,Waterford,City,"('Ireland', 'Waterford')",daron_lee1450869463@iatim.tech,(+353) 5334736448,;Bakery products;Fruit and vegetables
Daron Little,Daron,Little,460463,2021-07-09,"Lake Grove, 9374",Ireland,Waterford,City,"('Ireland', 'Waterford')",daron_little1373588664@deavo.com,(+353) 7255531062,;Dairy products
Daron Nanton,Daron,Nanton,446771,2021-10-04,"Blore  Vale, 4407",Ireland,Dublin,City,"('Ireland', 'Dublin')",daron_nanton1492946078@jiman.org,(+353) 4011474278,;Poultry and fish;Milling
Daron Oswald,Daron,Oswald,450707,2021-09-16,"Sheffield Way, 9586",England,Milton Keynes,City,"('England', 'Milton Keynes')",daron_oswald1554156722@tonsy.org,(+44) 7050812746,;Bakery products;Meat;Dairy products
Daron Pierce,Daron,Pierce,463352,2021-02-01,"Elgood   Route, 8746",England,London,City,"('England', 'London')",daron_pierce347137569@deons.tech,(+44) 3708181253,;Milling
Daron Raven,Daron,Raven,445820,2021-12-28,"Heritage Lane, 4867",Ireland,Cork,City,"('Ireland', 'Cork')",daron_raven975827539@dionrab.com,(+353) 2860287261,;Animal feeds
Daron Reese,Daron,Reese,450710,2021-12-18,"Paris   Road, 572",Ireland,-,Country,"('Ireland', '-')",daron_reese1429309322@fuliss.net,(+353) 1783711644,;Bakery products;Meat;Milling
Daron Robinson,Daron,Robinson,449752,2021-02-02,"Adelaide  Pass, 5187",England,-,Country,"('England', '-')",daron_robinson1857394479@infotech44.tech,(+44) 8466038665,;Meat;Fruit and vegetables
Daron Shelton,Daron,Shelton,454597,2021-09-24,"Lake Rue, 8918",England,Milton Keynes,City,"('England', 'Milton Keynes')",daron_shelton28545336@twace.org,(+44) 4514611121,;Milling
Daron Shields,Daron,Shields,445538,2021-06-18,"Cavendish Road, 3496",Ireland,Limerick,City,"('Ireland', 'Limerick')",daron_shields1032162118@cispeto.com,(+353) 8154286573,;Bakery products;Fruit and vegetables
Daron Stevens,Daron,Stevens,454104,2021-08-28,"Caroline  Boulevard, 1230",England,London,City,"('England', 'London')",daron_stevens1549424422@supunk.biz,(+44) 8502535437,;Poultry and fish;Animal feeds
Daron Stuart,Daron,Stuart,447120,2021-08-23,"Coalecroft  Rue, 8808",Ireland,Cork,City,"('Ireland', 'Cork')",daron_stuart724662771@sveldo.biz,(+353) 8451184741,;Meat;Dairy products;Poultry and fish
Daron Wilson,Daron,Wilson,462215,2021-05-18,"Chamberlain  Hill, 7082",England,-,Country,"('England', '-')",daron_wilson1119504032@twace.org,(+44) 1803877462,;Meat
Daron Wright,Daron,Wright,451655,2021-12-12,"Bedford  Crossroad, 3000",Ireland,Cork,City,"('Ireland', 'Cork')",daron_wright1784068845@gompie.com,(+353) 606003747,;Bakery products
Dasha Cooper,Dasha,Cooper,453405,2021-11-02,"Adderley   Boulevard, 555",Ireland,Limerick,City,"('Ireland', 'Limerick')",dasha_cooper1396016330@famism.biz,(+353) 7586235330,;Dairy products;Fruit and vegetables
Dasha Powell,Dasha,Powell,452551,2021-07-23,"Durweston   Crossroad, 5107",England,Oxford,City,"('England', 'Oxford')",dasha_powell1673619762@muall.tech,(+44) 5016732710,;Meat;Poultry and fish
Dasha Waterhouse,Dasha,Waterhouse,445288,2021-11-21,"Victoria Rise Hill, 149",England,Plymouth,City,"('England', 'Plymouth')",dasha_waterhouse1661471810@vetan.org,(+44) 1676287123,;Bakery products;Poultry and fish
David Bailey,David,Bailey,445838,2021-06-03,"Bel   Pass, 6592",England,Milton Keynes,City,"('England', 'Milton Keynes')",david_bailey106129224@kideod.biz,(+44) 7834825814,;Meat;Poultry and fish
David Brett,David,Brett,454202,2021-10-31,"Collins  Rue, 7089",England,Winchester,City,"('England', 'Winchester')",david_brett1970048099@liret.org,(+44) 5175483460,;Dairy products;Animal feeds
David Brooks,David,Brooks,445543,2021-12-07,"Clere  Crossroad, 4784",England,Oxford,City,"('England', 'Oxford')",david_brooks1036855212@twace.org,(+44) 3300331482,;Meat;Poultry and fish
David Carpenter,David,Carpenter,450883,2021-09-23,"Cleveland  Vale, 1179",England,Milton Keynes,City,"('England', 'Milton Keynes')",david_carpenter537647899@liret.org,(+44) 4240471781,;Bakery products;Meat
David Chappell,David,Chappell,454701,2021-12-20,"Canon Tunnel, 852",England,Plymouth,City,"('England', 'Plymouth')",david_chappell2017135976@deons.tech,(+44) 5167178468,;Bakery products;Dairy products;Poultry and fish
David Clayton,David,Clayton,450604,2021-10-26,"Ellerman   Hill, 6789",Ireland,Cork,City,"('Ireland', 'Cork')",david_clayton456180874@twace.org,(+353) 1614155037,;Dairy products;Fruit and vegetables
David Davies,David,Davies,452515,2021-11-04,"Kinglake  Drive, 9372",England,London,City,"('England', 'London')",david_davies2073348854@bulaffy.com,(+44) 833263231,;Bakery products;Meat;Animal feeds
David Harvey,David,Harvey,449664,2021-10-17,"Carltoun   Walk, 1039",Ireland,Waterford,City,"('Ireland', 'Waterford')",david_harvey1503778103@atink.com,(+353) 7667778634,;Dairy products;Poultry and fish
David Hopkinson,David,Hopkinson,446574,2021-08-09,"Blomfield  Rue, 1045",England,Plymouth,City,"('England', 'Plymouth')",david_hopkinson330822975@gmail.com,(+44) 7270057182,;Dairy products;Fruit and vegetables
David Kent,David,Kent,450725,2021-09-01,"Empress  Rue, 7809",England,Winchester,City,"('England', 'Winchester')",david_kent1958494559@extex.org,(+44) 4074562327,;Poultry and fish;Animal feeds
David Larsen,David,Larsen,459770,2021-02-24,"Rosewood Route, 7652",England,London,City,"('England', 'London')",david_larsen2083910569@womeona.net,(+44) 6431785207,;Dairy products
David Lynch,David,Lynch,449665,2021-10-14,"Dunsley  Crossroad, 4210",England,Milton Keynes,City,"('England', 'Milton Keynes')",david_lynch732603897@acrit.org,(+44) 752284463,;Bakery products;Animal feeds
David Lyon,David,Lyon,447118,2021-11-27,"Blean   Alley, 7087",England,-,Country,"('England', '-')",david_lyon54803806@hourpy.biz,(+44) 4861716364,;Poultry and fish;Milling
David Mcgregor,David,Mcgregor,451305,2021-11-22,"Addison  Walk, 8859",Ireland,Dublin,City,"('Ireland', 'Dublin')",david_mcgregor1650837066@infotech44.tech,(+353) 351873340,;Dairy products;Animal feeds
David Mitchell,David,Mitchell,446581,2021-09-21,"Bayberry Crossroad, 5987",England,Plymouth,City,"('England', 'Plymouth')",david_mitchell2043142036@joiniaa.com,(+44) 6458775865,;Bakery products;Fruit and vegetables;Milling
David Quinton,David,Quinton,450852,2021-01-08,"Queen Crossroad, 1453",Ireland,Cork,City,"('Ireland', 'Cork')",david_quinton1478686953@jiman.org,(+353) 4432146174,;Bakery products;Animal feeds
David Richards,David,Richards,448561,2021-05-06,"Bempton   Grove, 9823",Ireland,-,Country,"('Ireland', '-')",david_richards1313487768@twace.org,(+353) 3745457404,;Milling
David Robertson,David,Robertson,453760,2021-09-27,"Caslon   Boulevard, 3921",England,Winchester,City,"('England', 'Winchester')",david_robertson1252629299@mafthy.com,(+44) 1220732403,;Bakery products;Animal feeds
David Sanchez,David,Sanchez,447552,2021-11-12,"Parkfields Alley, 1272",Ireland,Waterford,City,"('Ireland', 'Waterford')",david_sanchez1635474493@dionrab.com,(+353) 4116144042,;Fruit and vegetables
David Thompson,David,Thompson,445834,2021-06-03,"Adderley   Pass, 7317",Ireland,Dublin,City,"('Ireland', 'Dublin')",david_thompson887692433@grannar.com,(+353) 1217871554,;Fruit and vegetables
David Ventura,David,Ventura,453202,2021-05-10,"Howard Road, 6421",Ireland,Cork,City,"('Ireland', 'Cork')",david_ventura970753165@gompie.com,(+353) 1307161128,;Bakery products;Dairy products;Animal feeds
David Wallace,David,Wallace,451352,2021-12-26,"Bermondsey    Drive, 7986",Ireland,Waterford,City,"('Ireland', 'Waterford')",david_wallace1633371631@twipet.com,(+353) 3528744133,;Poultry and fish
David Yang,David,Yang,449677,2021-12-28,"English   Rue, 666",Ireland,-,Country,"('Ireland', '-')",david_yang365754519@gmail.com,(+353) 5314117020,;Poultry and fish;Fruit and vegetables
Davina Devonport,Davina,Devonport,461110,2021-05-13,"Gatonby   Grove, 482",England,London,City,"('England', 'London')",davina_devonport452541605@sheye.org,(+44) 8815565572,;Poultry and fish
Davina Matthews,Davina,Matthews,460474,2021-12-04,"Bales  Walk, 2680",England,Oxford,City,"('England', 'Oxford')",davina_matthews841132352@acrit.org,(+44) 4673771171,;Bakery products
Davina Spencer,Davina,Spencer,446489,2021-09-24,"Becklow  Street, 5693",England,Milton Keynes,City,"('England', 'Milton Keynes')",davina_spencer318374984@bretoux.com,(+44) 6567608085,;Meat
Deborah Graham,Deborah,Graham,461393,2021-05-16,"Victoria Rise Rue, 9393",England,London,City,"('England', 'London')",deborah_graham370935986@brety.org,(+44) 2324501444,;Dairy products
Deborah Partridge,Deborah,Partridge,457617,2021-03-19,"Gate   Way, 9907",England,-,Country,"('England', '-')",deborah_partridge2136457552@jiman.org,(+44) 1484766546,;Poultry and fish
Deborah Tennant,Deborah,Tennant,447062,2021-12-27,"Abourne   Crossroad, 6682",England,Plymouth,City,"('England', 'Plymouth')",deborah_tennant162881745@deons.tech,(+44) 7514147250,;Dairy products
Denis Amstead,Denis,Amstead,459695,2021-11-18,"Walnut Road, 2564",Ireland,Cork,City,"('Ireland', 'Cork')",No email found,(+353) 2530622225,;Poultry and fish;Fruit and vegetables;Milling
Denis Baxter,Denis,Baxter,454452,2021-11-05,"Balfe   Lane, 7584",England,-,Country,"('England', '-')",denis_baxter1602623123@irrepsy.com,(+44) 2144053177,;Bakery products;Fruit and vegetables
Denis Bloom,Denis,Bloom,444248,2021-06-10,"Bletchley   Road, 9556",Ireland,Cork,City,"('Ireland', 'Cork')",denis_bloom1263954108@ubusive.com,(+353) 8084540735,;Dairy products;Meat
Denis Boyle,Denis,Boyle,448579,2021-10-12,"Enford   Road, 7959",England,-,Country,"('England', '-')",denis_boyle1570473023@gompie.com,(+44) 6678565525,;Milling;Poultry and fish;Animal feeds
Denis Chester,Denis,Chester,460187,2021-07-10,"Bocking   Street, 7862",England,Plymouth,City,"('England', 'Plymouth')",denis_chester991222788@yahoo.com,(+44) 2405275330,;Bakery products
Denis Cooper,Denis,Cooper,447064,2021-09-25,"Chandos  Crossroad, 5763",Ireland,Waterford,City,"('Ireland', 'Waterford')",denis_cooper2091789316@irrepsy.com,(+353) 3762347565,;Poultry and fish;Milling
Denis Cork,Denis,Cork,449153,2021-07-18,"Dunstable   Vale, 1943",Ireland,Cork,City,"('Ireland', 'Cork')",denis_cork1299368884@guentu.biz,(+353) 8464221213,;Dairy products;Meat
Denis Fall,Denis,Fall,449660,2021-07-24,"Lake Road, 877",England,-,Country,"('England', '-')",denis_fall271127602@tonsy.org,(+44) 4402727055,;Meat;Animal feeds;Fruit and vegetables
Denis Hale,Denis,Hale,449659,2021-06-30,"Cardinal Drive, 4901",England,Winchester,City,"('England', 'Winchester')",denis_hale1491969618@grannar.com,(+44) 6826731147,;Dairy products;Meat
Denis Holt,Denis,Holt,449656,2021-03-19,"Abbots   Grove, 5223",Ireland,Dublin,City,"('Ireland', 'Dublin')",denis_holt646379316@fuliss.net,(+353) 3208175307,;Dairy products;Meat
Denis Hunt,Denis,Hunt,446789,2021-10-25,"Balfe   Pass, 4667",England,-,Country,"('England', '-')",denis_hunt820109560@nanoff.biz,(+44) 6554684466,;Bakery products;Dairy products;Milling
Denis Hunter,Denis,Hunter,445795,2021-07-27,"Bede  Alley, 5322",England,Oxford,City,"('England', 'Oxford')",denis_hunter125828609@acrit.org,(+44) 4408520536,;Meat;Poultry and fish
Denis Jackson,Denis,Jackson,446995,2021-05-28,"Pine Rue, 505",Ireland,-,Country,"('Ireland', '-')",denis_jackson771495249@infotech44.tech,(+353) 581042321,;Bakery products;Poultry and fish
Denis Larsen,Denis,Larsen,449152,2021-12-24,"Calshot   Tunnel, 8250",Ireland,Limerick,City,"('Ireland', 'Limerick')",denis_larsen918212526@fuliss.net,(+353) 5672106281,;Dairy products
Denis Mccormick,Denis,Mccormick,445743,2021-11-28,"Sheffield Route, 3139",England,Oxford,City,"('England', 'Oxford')",denis_mccormick2094956808@naiker.biz,(+44) 1526621883,;Poultry and fish;Milling
Denis Scott,Denis,Scott,446621,2021-06-13,"Bede  Walk, 3435",England,Oxford,City,"('England', 'Oxford')",denis_scott1536943811@liret.org,(+44) 7403135150,;Bakery products;Poultry and fish;Animal feeds
Denis Truscott,Denis,Truscott,447060,2021-03-24,"Longmoore   Lane, 9362",England,Milton Keynes,City,"('England', 'Milton Keynes')",denis_truscott54089128@gompie.com,(+44) 7330465757,;Milling
Denis Tutton,Denis,Tutton,453407,2021-04-12,"Archery  Walk, 7683",England,Milton Keynes,City,"('England', 'Milton Keynes')",denis_tutton485875065@gmail.com,(+44) 4363677762,;Dairy products
Denis Ulyatt,Denis,Ulyatt,448168,2021-08-31,"Caslon   Vale, 8407",England,Plymouth,City,"('England', 'Plymouth')",denis_ulyatt1098769405@sveldo.biz,(+44) 4081173012,;Meat;Animal feeds
Denis Upsdell,Denis,Upsdell,446570,2021-11-22,"Bond Road, 9509",England,Milton Keynes,City,"('England', 'Milton Keynes')",denis_upsdell677807163@sveldo.biz,(+44) 1011020826,;Bakery products
Denis Whatson,Denis,Whatson,446486,2021-08-27,"Bliss  Drive, 581",England,Oxford,City,"('England', 'Oxford')",denis_whatson158943461@yahoo.com,(+44) 1745408310,;Bakery products;Meat
Denis Widdows,Denis,Widdows,459779,2021-04-08,"Littlebury  Road, 9105",Ireland,Waterford,City,"('Ireland', 'Waterford')",denis_widdows1846097151@iatim.tech,(+353) 3526128216,;Poultry and fish
Denis Zaoui,Denis,Zaoui,446482,2021-12-24,"Victorian  Hill, 3045",England,-,Country,"('England', '-')",denis_zaoui1131367905@extex.org,(+44) 4250518275,;Bakery products;Meat;Animal feeds
Denny Allen,Denny,Allen,448157,2021-09-16,"Clarks  Walk, 1007",England,Oxford,City,"('England', 'Oxford')",denny_allen1352507509@sveldo.biz,(+44) 5713806132,;Meat;Poultry and fish
Denny Anderson,Denny,Anderson,460398,2021-06-18,"Bennett  Route, 6593",England,Oxford,City,"('England', 'Oxford')",denny_anderson297652824@zorer.org,(+44) 4051182282,;Bakery products
Denny Asher,Denny,Asher,462413,2021-08-06,"Clyde Alley, 3440",England,Milton Keynes,City,"('England', 'Milton Keynes')",denny_asher855311347@twace.org,(+44) 8555773827,;Bakery products
Denny Brock,Denny,Brock,446473,2021-11-20,"Emily  Pass, 5306",England,London,City,"('England', 'London')",denny_brock820962953@elnee.tech,(+44) 1532743264,;Animal feeds
Denny Calderwood,Denny,Calderwood,446966,2021-02-26,"Elizabeth  Way, 8766",England,Oxford,City,"('England', 'Oxford')",denny_calderwood2143505237@liret.org,(+44) 3481468868,;Meat;Milling
Denny Coleman,Denny,Coleman,446993,2021-08-02,"Angrave    Vale, 6782",England,-,Country,"('England', '-')",denny_coleman1253268116@bungar.biz,(+44) 3066507620,;Bakery products;Animal feeds
Denny Cowan,Denny,Cowan,454401,2021-11-01,"Bayberry Crossroad, 4999",Ireland,-,Country,"('Ireland', '-')",denny_cowan584747286@acrit.org,(+353) 6664562184,;Bakery products;Dairy products
Denny Dann,Denny,Dann,448451,2021-10-27,"Carltoun   Hill, 7128",England,London,City,"('England', 'London')",denny_dann1478626239@jiman.org,(+44) 2315465267,;Bakery products;Fruit and vegetables
Denny Garcia,Denny,Garcia,446797,2021-12-01,"Pine Route, 5770",Ireland,Waterford,City,"('Ireland', 'Waterford')",denny_garcia1443038489@bauros.biz,(+353) 2380204372,;Poultry and fish;Animal feeds
Denny Graham,Denny,Graham,444232,2021-11-13,"Clyde Boulevard, 6131",Ireland,Waterford,City,"('Ireland', 'Waterford')",denny_graham146668221@vetan.org,(+353) 3272318368,;Meat;Milling
Denny Healy,Denny,Healy,447103,2021-12-14,"Erindale Boulevard, 2788",England,Winchester,City,"('England', 'Winchester')",denny_healy482612101@ovock.tech,(+44) 84273350,;Bakery products;Milling
Denny Jarrett,Denny,Jarrett,441299,2021-07-23,"Chandos  Pass, 8365",England,Plymouth,City,"('England', 'Plymouth')",denny_jarrett1162005082@cispeto.com,(+44) 8606814810,;Dairy products;Poultry and fish
Denny John,Denny,John,450864,2021-12-17,"Carpenter Pass, 7770",Ireland,Waterford,City,"('Ireland', 'Waterford')",denny_john1502586780@jiman.org,(+353) 5488030015,;Bakery products;Dairy products
Denny Lakey,Denny,Lakey,444240,2021-08-29,"Yoakley Avenue, 7810",Ireland,Limerick,City,"('Ireland', 'Limerick')",denny_lakey983015113@infotech44.tech,(+353) 8554063801,;Fruit and vegetables;Milling
Denny Marshall,Denny,Marshall,448704,2021-12-24,"Tiptree   Grove, 5739",England,Plymouth,City,"('England', 'Plymouth')",denny_marshall2144524095@bungar.biz,(+44) 7857426104,;Bakery products;Milling
Denny Martin,Denny,Martin,452765,2021-03-06,"Carltoun   Way, 407",England,Oxford,City,"('England', 'Oxford')",denny_martin612117926@acrit.org,(+44) 2305713056,;Poultry and fish;Animal feeds
Denny Morris,Denny,Morris,446485,2021-10-26,"Bolton  Street, 7368",Ireland,Cork,City,"('Ireland', 'Cork')",denny_morris1475886410@sheye.org,(+353) 207355203,;Meat;Dairy products
Denny Palmer,Denny,Palmer,445830,2021-12-19,"Cliff  Avenue, 8424",Ireland,Limerick,City,"('Ireland', 'Limerick')",denny_palmer1069620145@gompie.com,(+353) 7862232532,;Bakery products;Dairy products;Poultry and fish;Milling
Denny Potts,Denny,Potts,447114,2021-10-11,"Blue Anchor  Road, 8395",Ireland,Waterford,City,"('Ireland', 'Waterford')",denny_potts199249310@bauros.biz,(+353) 1003684085,;Animal feeds;Fruit and vegetables
Denny Rixon,Denny,Rixon,446480,2021-09-28,"Rail Vale, 5399",England,Oxford,City,"('England', 'Oxford')",denny_rixon20477432@brety.org,(+44) 5801757308,;Bakery products;Dairy products
Denny Shaw,Denny,Shaw,447053,2021-10-30,"Cam  Boulevard, 1656",Ireland,Dublin,City,"('Ireland', 'Dublin')",denny_shaw740520948@brety.org,(+353) 7452333751,;Meat;Milling
Denny Thomas,Denny,Thomas,445935,2021-12-26,"Bagford   Road, 7965",Ireland,Limerick,City,"('Ireland', 'Limerick')",denny_thomas1268888120@cispeto.com,(+353) 4627663508,;Dairy products;Poultry and fish;Milling
Denny Watson,Denny,Watson,445526,2021-04-28,"Belfort  Drive, 2430",Ireland,Limerick,City,"('Ireland', 'Limerick')",denny_watson1588012348@elnee.tech,(+353) 6185502127,;Bakery products;Meat
Denny Williams,Denny,Williams,448570,2021-06-15,"Clifton  Route, 9499",Ireland,Waterford,City,"('Ireland', 'Waterford')",denny_williams2092242492@nanoff.biz,(+353) 3833124207,;Fruit and vegetables;Milling
Denny Woodcock,Denny,Woodcock,449657,2021-07-28,"Yorkshire  Hill, 1339",Ireland,Cork,City,"('Ireland', 'Cork')",denny_woodcock1264264240@naiker.biz,(+353) 6223282250,;Bakery products;Animal feeds
Denny Woods,Denny,Woods,459038,2021-10-14,"Enford   Way, 3356",England,-,Country,"('England', '-')",denny_woods1761963439@naiker.biz,(+44) 45382564,;Milling
Destiny Gallacher,Destiny,Gallacher,446917,2021-09-06,"Durnford  Tunnel, 2832",England,Winchester,City,"('England', 'Winchester')",destiny_gallacher7904151@sheye.org,(+44) 4803102501,;Poultry and fish
Destiny Williams,Destiny,Williams,446448,2021-09-14,"Lake Vale, 5159",England,Milton Keynes,City,"('England', 'Milton Keynes')",destiny_williams1503146148@twipet.com,(+44) 1434328580,;Dairy products;Animal feeds
Diane Ellis,Diane,Ellis,448592,2021-09-03,"Chatfield  Rue, 4980",Ireland,Dublin,City,"('Ireland', 'Dublin')",diane_ellis31286641@sveldo.biz,(+353) 8588353601,;Bakery products;Milling
Diane Roscoe,Diane,Roscoe,461651,2021-10-25,"Wadham  Lane, 6236",England,Plymouth,City,"('England', 'Plymouth')",diane_roscoe1152660628@mafthy.com,(+44) 3468618875,;Dairy products
Domenic Blackburn,Domenic,Blackburn,454351,2021-08-09,"Yoakley Boulevard, 31",Ireland,Cork,City,"('Ireland', 'Cork')",domenic_blackburn303757061@extex.org,(+353) 821616222,;Animal feeds;Fruit and vegetables
Domenic Bloom,Domenic,Bloom,448753,2021-12-15,"Amwell    Rue, 9014",Ireland,-,Country,"('Ireland', '-')",domenic_bloom212491752@jiman.org,(+353) 2887637434,;Animal feeds;Fruit and vegetables
Domenic Dubois,Domenic,Dubois,446532,2021-04-21,"West Boulevard, 6044",England,Plymouth,City,"('England', 'Plymouth')",domenic_dubois1049404641@bauros.biz,(+44) 8373135206,;Meat;Fruit and vegetables
Domenic Egerton,Domenic,Egerton,461529,2021-04-28,"Dunstable   Rue, 5922",Ireland,Waterford,City,"('Ireland', 'Waterford')",domenic_egerton2041674616@twace.org,(+353) 6084455650,;Dairy products
Domenic Evans,Domenic,Evans,449673,2021-05-23,"King William  Walk, 9202",Ireland,Waterford,City,"('Ireland', 'Waterford')",domenic_evans1075364768@vetan.org,(+353) 8767503428,;Animal feeds;Fruit and vegetables
Domenic James,Domenic,James,445942,2021-11-17,"Emden   Rue, 5749",Ireland,Dublin,City,"('Ireland', 'Dublin')",domenic_james856177611@gembat.biz,(+353) 5880337388,;Bakery products;Animal feeds
